,X,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol.x,idx,beta,pval,cilb,ciub,i2,tau2,symbol.y
1370,ENSG00000163463.10,1.06780989565245,1.00098012047737,1.13910151653114,0.0466270304237198,1.05601826024275,0.945196871191169,1.1798331119746,0.335260853149519,KRTCAP2,39186,0.538380348673666,7.93980997337486e-14,0.397146004745479,0.679614692601852,94.0767096260591,0.101363213327448,KRTCAP2
1744,ENSG00000184575.10,1.27328636268969,1.1910810774825,1.36116524060501,1.29207556871983e-12,1.32226652307899,1.15369894727003,1.51546359836123,5.95034721879448e-05,XPOT,21169,0.647757181724801,1.13935962029778e-13,0.47673878245591,0.818775580993691,98.1278664814384,0.1675765000809,XPOT
1764,ENSG00000185825.14,1.105029562571,1.02989325150459,1.18564747596117,0.00543906924977889,1.11398663092111,0.998112921691176,1.24331244181099,0.0540722084292896,BCAP31,14288,0.435899570199888,1.38901230280683e-13,0.320406266695142,0.551392873704633,93.7625271744876,0.0667230901911617,BCAP31
1884,ENSG00000204394.11,1.12840549350986,1.04904436805505,1.21377035762934,0.00116718205785526,1.12302197676322,1.01990731228595,1.23656173958245,0.0182206546434991,VARS,16408,0.563837831685119,2.11369538788763e-13,0.413307728589739,0.7143679347805,96.2795878974302,0.124366263829031,VARS
1517,ENSG00000169762.15,0.765963735254693,0.710308624763844,0.825979614030989,4.28797305108402e-12,0.737077892293752,0.645937324398524,0.841078226612912,5.90042405108013e-06,TAPT1,40143,-0.671221349267285,3.05916581744122e-13,-0.851639857508647,-0.490802841025923,98.045390082927,0.182384315842191,TAPT1
911,ENSG00000133422.11,1.15747412399307,1.05457391238609,1.27041483956512,0.00207994571311318,1.25552463868653,1.0451916807022,1.50818471621387,0.0149972539475622,MORC2,2873,0.492291792345375,3.1795454784701e-13,0.359873564904395,0.624710019786354,97.5472183314167,0.0959558653726381,MORC2
1214,ENSG00000149136.6,1.20475420302749,1.09772131528117,1.32222329065427,8.70592280415187e-05,1.23221438913664,1.02188676628977,1.48583223785954,0.0287651477691016,SSRP1,45257,0.408779006820733,3.86478046337645e-13,0.298425218646396,0.51913279499507,96.6212060524424,0.0639766300604343,SSRP1
1911,ENSG00000213551.4,1.08572129572029,1.0066846643288,1.17096323580781,0.0329467932820287,1.09540278639211,0.959072308731816,1.25111240676133,0.17903648103018,DNAJC9,41065,0.593421921711208,4.32273635278991e-13,0.432886757872493,0.753957085549923,97.5020819358838,0.137325544284743,DNAJC9
1748,ENSG00000184840.10,1.17007738954862,1.08267585382416,1.26453461827667,7.32714346578134e-05,1.17007738954862,1.08267585382416,1.26453461827667,7.32714346578134e-05,TMED9,34599,0.467195954852146,5.78693616926515e-13,0.340112663706927,0.594279245997365,95.0806529533032,0.0843373505870631,TMED9
224,ENSG00000090520.9,1.17426106386294,1.08820015152851,1.26712815116568,3.52616398724635e-05,1.20827753411174,1.06501995185076,1.3708049289613,0.00330044388776435,DNAJB11,8171,0.624526228966987,6.24527225673285e-13,0.454401708174299,0.794650749759675,96.9972440585223,0.152918446748322,DNAJB11
633,ENSG00000116649.8,1.16594914709788,1.09923792412832,1.23670898153944,3.26489357792618e-07,1.14618581606001,1.039729163562,1.26354244064523,0.00608222158089434,SRM,19207,0.618765193787614,6.80405443183821e-13,0.449935438837391,0.787594948737837,94.8973187604139,0.151194466464408,SRM
479,ENSG00000108424.8,1.32658435097584,1.19439584634959,1.47340267938182,1.31386406405439e-07,1.3567951213124,1.11220184718485,1.65517887411958,0.00262566737839968,KPNB1,57552,0.35914925282867,1.15721240012464e-12,0.26015042455747,0.458148081099871,96.0796736409964,0.0521562970531213,KPNB1
1309,ENSG00000159658.9,0.909899184768077,0.832536114818047,0.99445118560719,0.0372788011007706,0.926728226247151,0.802292627391831,1.07046378839993,0.300960995363168,EFCAB14,56917,-0.425693709193331,1.36562322751502e-12,-0.543414352133573,-0.307973066253089,95.6147145971665,0.0727898341364705,EFCAB14
658,ENSG00000117758.12,0.905779845382094,0.824784965642459,0.994728520131714,0.0384006177090802,0.909708708598741,0.774645752283754,1.06832049625342,0.248490636032219,STX12,26064,-0.606149922414593,2.38868448756978e-12,-0.775634474911835,-0.436665369917351,97.5132369579123,0.155206018675815,STX12
1578,ENSG00000173113.5,1.08473211448892,1.01302975620384,1.16150957363077,0.0197543635139261,1.08473211448892,1.01302975620384,1.16150957363077,0.0197543635139261,TRMT112,3848,0.444274813482099,2.43258952146806e-12,0.320006699666513,0.568542927297686,92.4796934021806,0.0758316847131563,TRMT112
